bar,address
Riverside Theatre,"119 East College Street, Iowa City, Iowa"
It's Brothers Bar & Grill,"125 S. Dubuque, Iowa City, Iowa"
Hy-Vee Fast and Fresh #1,"260 Stevens Dr, Iowa City, Iowa"
The Crown Liquor & Smoke,"19 Highway 1 West Roosevelt, Iowa City, Iowa"
Hy-Vee #3,"1125 North Dodge Street, Iowa City, Iowa"
OYAMA SUSHI,"1853 LOWER MUSCATINE RD., Iowa City, Iowa"
Walker Homestead,"3867 James Ave SW, Iowa City, Iowa"
Hy-Vee CR #7 Reception,"4696 Robin Woods Lane NortheastShimek, Iowa City, Iowa"
Baroncini,"104 S. Linn St., Iowa City, Iowa"
Joe's Place,"115 Iowa Ave, Iowa City, Iowa"
Walker Homestead,"3867 James Ave SW, Iowa City, Iowa"
Kwik Star #1142,"1907 Keokuk Street, Iowa City, Iowa"
TCB Pool Hall,"114 East College Street, Iowa City, Iowa"
Hy-Vee Fast and Fresh #3,"1103 North Dodge Street, Iowa City, Iowa"
The Tipsy Travelers,"4696 Robin Woods Lane NortheastShimek, Iowa City, Iowa"
Pints,"118 S. Clinton St, Iowa City, Iowa"
The Tipsy Travelers,"4696 Robin Woods Ln NE, Iowa City, Iowa"
Bo-James,"118 E. Washington, Iowa City, Iowa"
Black Angel,"630 Iowa Avenue, Iowa City, Iowa"
Hy-Vee Market Cafe,"812 S 1st Ave Cafe Area, Iowa City, Iowa"
Kum & Go # 3502,"2303 Muscatine Ave, Iowa City, Iowa"
The Webster,"202 N Linn St, Iowa City, Iowa"
Akason and Daniels Wedding,"4696 Robin Woods Lane NortheastShimek, Iowa City, Iowa"
ARAMARK,"456 Carver Hawkeye Arena, Iowa City, Iowa"
Hy-Vee Drugstore,"310 N 1st Ave, Iowa City, Iowa"
Pleasant Valley Golf Course,"4390 Sand Road SE, Iowa City, Iowa"
Kum & Go # 3504,"1310 S Gilbert Street, Iowa City, Iowa"
Iowa City Downtown District,"100-200 Block Iowa Ave,0-100 Block South Clinton St 100-200 Block East College,0-100 Block South Linn Iowa City, IA 52240, Iowa City, Iowa"
KWIK SPIRITS #537,"923 S Riverside Dr, Iowa City, Iowa"
Edwards Wedding,"4696 Robin Woods Lane Northeast, Iowa City, Iowa"
City Liquor,"425 South Gilbert Street, Iowa City, Iowa"
